UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
1	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
2	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
3	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
4	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
5	4 No apta	4 No apta	3 Bajo	3 Limit_fuerte
6	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
9	2 Mod_apta	3 Marginal	2 Moderado	3 Limit_fuerte
11	2 Mod_apta	2 Mod_apta	2 Moderado	3 Limit_fuerte
14	2 Mod_apta	2 Mod_apta	2 Moderado	3 Limit_fuerte
16	2 Mod_apta	3 Marginal	2 Moderado	3 Limit_fuerte
18	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
19	2 Mod_apta	2 Mod_apta	2 Moderado	3 Limit_fuerte
20	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
21	2 Mod_apta	2 Mod_apta	2 Moderado	3 Limit_fuerte
22	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
23	1 Muy apta	2 Mod_apta	1 Alto	3 Limit_fuerte
24	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
25	1 Muy apta	2 Mod_apta	1 Alto	3 Limit_fuerte
27	2 Mod_apta	3 Marginal	2 Moderado	3 Limit_fuerte
28	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
29	2 Mod_apta	3 Marginal	2 Moderado	3 Limit_fuerte
30	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
32	1 Muy apta	2 Mod_apta	1 Alto	3 Limit_fuerte
36	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
37	2 Mod_apta	2 Mod_apta	2 Moderado	3 Limit_fuerte
38	2 Mod_apta	1- Muy apta	1 Alto	3 Limit_fuerte
39	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
40	2 Mod_apta	1- Muy apta	1 Alto	1 Limit_ligera
41	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
42	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
43	3 Marginal	4 No apta	2 Moderado	1 Limit_ligera
44	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
46	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
47	3 Marginal	4 No apta	2 Moderado	1 Limit_ligera
53	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
54	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
59	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
61	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
62	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
63	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
64	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
65	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
66	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
68	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
